input,Correct Answer,Correct Option,source
"Which one of the following manoeuvres is not a central painful stimulus?

A. Supra-orbital ridge pressure.
B. Pressure on the little finger pulp.
C. Trapezius squeeze.
D. Sternal rub.",Pressure on the little finger pulp.,B,Clinical Knowledge
"Phosphocreatine in the muscle cell is found in:

A. the mitochondria.
B. all subcellular compartments.
C. the sarcolemma.
D. the cytoplasm.",the cytoplasm.,D,Clinical Knowledge
"Your patient has diabetes. Why is this important?

A. These patients are more likely to bleed.
B. These patients are more likely to get urinary tract infections if their blood sugar is unstable.
C. These patients are more likely to have clear urine.
D. These patients are less likely to have catheter encrustation.",These patients are more likely to get urinary tract infections if their blood sugar is unstable.,B,Clinical Knowledge
"Which of the following is true of calcium metabolism?

A. Calcitonin causes a rise in plasma calcium
B. Primary hyperparathyroidism is usually asymptomatic
C. Vitamin D is secreted by the parathyroid glands
D. Oliguria is a symptom of hypercalcaemia",Primary hyperparathyroidism is usually asymptomatic,B,Clinical Knowledge
"Which of the following is recommended for cleaning the mouth?

A. Hydrogen peroxide.
B. Water.
C. Lemon and glycerine swabs.
D. Normal saline.",Water.,B,Clinical Knowledge
"The crown of a very carious tooth suddenly fractures while the patient is standing eating at a take-away food outlet and a fragment is inhaled. It is more likely to enter the

A. right lung because the right main bronchus is wider and more vertical than the left.
B. left lung because the left main bronchus is wider and more vertical than the right.
C. right lung or left lung because the two main bronchi are of equal size and at the same angulation.
D. right or left lung because there are no factors predisposing to the fragment going in one particular direction.",right lung because the right main bronchus is wider and more vertical than the left.,A,Anatomy
"Lactate and hydrogen ions leave the muscle:

A. via a cotransport mechanism with carnosine.
B. via an active transport mechanism.
C. via a protein transporter molecule.
D. by simple diffusion.",via a protein transporter molecule.,C,Clinical Knowledge
"Which of the following molecules does not form part of DNA?

A. Purine
B. Pyrimidine
C. Deoxyribose
D. Amino acid",Amino acid,D,Clinical Knowledge
"How long can a cannula remain in situ?

A. 24 hours.
B. 36 hours.
C. 48 hours.
D. 96 hours.",96 hours.,D,Clinical Knowledge
"A 22-year-old woman comes to the office because of a 3-day history of cold symptoms and a 1-week history of progressive fatigue. Six weeks ago, she received a kidney transplant from a living, related donor. Immediately after the operation, she received monoclonal anti-CD3 therapy. Current medications are azathioprine, cyclosporine, and prednisone. Her temperature is 39°C (102.2°F). Physical examination shows a well-healed surgical scar. Serum studies show that her urea nitrogen and creatinine concentrations have tripled. A diagnosis of allograft rejection is suspected. In addition, this patient's clinical presentation is best explained by an infection with which of the following agents?

A. Adenovirus
B. BK virus
C. Epstein-Barr virus
D. Herpes simplex virus",BK virus,B,Professional Medicine
"A 5-year-old boy is brought to the physician because of a 2-day history of fever and painful swelling of the left ankle. He has had recurrent cervical lymphadenitis and pneumonia since infancy. Two years ago, a culture from an abscess in the cervical region grew Staphylococcus aureus. His temperature is 38°C (100.4°F). Examination shows a tender, erythematous, edematous left ankle; there is point tenderness over the medial malleolus. A bone scan shows increased uptake in the left lower tibial metaphysis. Culture of bone aspirate grows Serratia marcescens. Nitroblue tetrazolium test shows no color change. Which of the following is the most likely mechanism for these findings?

A. Developmental arrest of maturation of B lymphocytes
B. Dysmorphogenesis of the third and fourth pharyngeal pouches
C. Impaired chemotaxis
D. Impaired phagocytic oxidative metabolism",Impaired phagocytic oxidative metabolism,D,Professional Medicine
"An expected side effect of creatine supplementation is:

A. muscle weakness.
B. gain in body mass.
C. muscle cramps.
D. loss of electrolytes.",gain in body mass.,B,Clinical Knowledge
"Which of the following is NOT a sign of phlebitis?

A. Swelling.
B. Redness.
C. Exudate.
D. Cool to the touch.",Cool to the touch.,D,Clinical Knowledge
"Which of the following are indicative signs and symptoms of circulatory overload?

A. Hypothermia, hypotension, and bradycardia.
B. Hypotension, oliguria, and uticaria.
C. Shivering, pyrexia, and thirst.
D. Dyspnoea, tachycardia, and distended neck veins.","Dyspnoea, tachycardia, and distended neck veins.",D,Clinical Knowledge
"Which of the following is not a controlled drug?

A. A 30 milligram ampoule of Codeine Phosphate for injection.
B. A sustained release Morphine tablet.
C. A 12.5 microgram Fentanyl patch.
D. A 500 ml bottle of Morphine 10 mg in 5 ml in oral suspension.",A 500 ml bottle of Morphine 10 mg in 5 ml in oral suspension.,D,Clinical Knowledge
"Which of the following structures should be visible on a dental panoramic radiograph?

A. The mandibular canal
B. The mandibular canal and maxillary sinus
C. The mandibular canal, maxillary sinus and hard palate
D. The mandibular canal, maxillary sinus, hard palate and zygomatic arch","The mandibular canal, maxillary sinus, hard palate and zygomatic arch",D,Anatomy
"A 26-year-old woman with HIV infection comes to the office because of a 4-day history of pain and redness of her left lower leg. She says the symptoms began after she tripped over a tree branch in her yard and scraped her left leg. Current medications include antiretroviral therapy and ibuprofen as needed. Vital signs are temperature 38.3°C (100.9°F), pulse 86/min, respirations 14/min, and blood pressure 138/70 mm Hg. There is a 5×8-cm area on the anterior surface of her left lower extremity that is swollen, erythematous, and tender. She previously has developed a rash after taking erythromycin, and she has had an anaphylactic response to penicillin. Which of the following antibiotic therapies is most appropriate for this patient?

A. Amoxicillin
B. Ciprofloxacin
C. Clarithromycin
D. Clindamycin",Clindamycin,D,Professional Medicine
"If the mean rate of oxygen consumption of a male athlete during a training session is 2 l/min, then his rate of energy expenditure is approximately:

A. 400 kJ/min.
B. 200 kJ/min.
C. 80 kJ/min.
D. 40 kJ/min.",40 kJ/min.,D,Clinical Knowledge
"Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?

A. Glomerulonephritis
B. Interstitial nephritis
C. Nephrolithiasis
D. Polycystic kidney",Nephrolithiasis,C,Anatomy
"The palatine processes begin to fuse at

A. six weeks post-fertilization.
B. eight weeks post-fertilization.
C. ten weeks post-fertilization.
D. twelve weeks post-fertilization.",ten weeks post-fertilization.,C,Anatomy
"Mr Wood has just returned from surgery and has severe internal bleeding. Which of the following observations would you NOT expect to find on undertaking post-operative observations?

A. Hypotension.
B. Bradycardia.
C. Confusion
D. Tachypnoea.",Bradycardia.,B,Clinical Knowledge
